City,Latitude,Longitude
Adama,8.5417,39.2685
Ambo,8.9833,37.85
Bishoftu,8.7525,38.9786
Jimma,7.6667,36.8333
Nekemte,9.0833,36.55
Shashamane,7.2,38.6
Asella,7.95,39.1167
Bale Robe,7.1333,40.0
Goba,7.0167,39.9833
Dembidolo,8.5333,34.8
Gimbi,9.1667,35.8333
Adaba,7.0167,39.3833
Agaro,7.85,36.65
Bedele,8.45,36.35
Bako,5.7833,36.5667
Bule Hora,5.6,38.2
Dodola,6.9833,39.1833
Fiche,9.8,38.7333
Gedo,9.0167,37.45
Ginchi,8.9333,38.0667
Goro,8.1667,39.0167
Hagere Mariam,5.6333,38.2333
Holeta,9.0667,38.5
Huruta,8.15,39.35
Kofele,7.0667,38.7833
Mendi,9.8,35.1
Metu,8.3,35.5833
Mojo,8.6,39.1167
Nazret,8.5417,39.2685
Sebeta,8.9167,38.6167
Shambu,9.5667,37.1
Waliso,8.5333,37.9833
Welenchiti,8.7,39.2
Woliso,8.5333,37.9833
Wuchale,11.8333,39.6
Yabello,4.8833,38.0833
Ziway,7.9333,38.7167
Abomsa,9.9833,39.9833
Addis Alem,8.9833,38.4
Alem Gena,8.9167,38.4
Asasa,7.1,39.2
Awash,8.9833,40.1667
Batu,7.9333,38.7167
Becho,8.25,37.5667
Bishan Gari,9.0667,38.5
Chancho,9.0833,38.7667
Chefe Donsa,8.9833,38.4
Dhera,7.95,38.7167
Diksis,9.0667,38.5
Enkelo Wabe,9.0667,38.5
Fadis,9.0667,38.5
Gebre Guracha,9.0667,38.5
Ginir,7.1333,40.0
Guder,8.9833,37.7667
Hagere Selam,6.5667,38.4167
Hirna,9.0667,38.5
Hosaena,7.55,37.85
Jato,9.0667,38.5
Kemise,10.7167,39.8667
Kibre Mengist,5.8833,38.9833
Kuyera,7.0667,38.7833
Leku,6.8667,38.45
Limu,8.45,36.35
Meki,8.1667,38.7667
Metehara,8.9,39.9167
Mieso,9.2333,40.75
Muger,9.0667,38.5
Robe,7.1333,40.0
Sagure,9.0667,38.5
Sendafa,9.15,39.0333
Serbo,7.5667,38.4167
Shakiso,5.75,38.9167
Shashemene,7.2,38.6
Sire,8.3167,39.4833
Tulu Bolo,8.6667,38.2167
Wonchi,8.8333,37.85
Yirga Alem,6.75,38.4167
Bahir Dar,11.6,37.3833
Gondar,12.6,37.4667
Dessie,11.1333,39.6333
Debre Markos,10.3333,37.7333
